,SO2(001):,NO(007):,NO2(008):,O3(014):,VEL(081):,DIR(082):,TEM(083):,HUM(086):,PRE(087):,RAD(088):,LLU(089):,PM10(010):,date,estacion
0,+00000.48,+00000.28,+00000.91,+00054.60,+00001.60,+00156.00,+00011.60,+00094.90,+00971.70,+00000.00,+00000.00,+00000.00,31-10-2024 00:10 ,11
1,+00000.43,+00000.15,+00000.73,+00059.31,+00001.80,+00152.00,+00011.60,+00094.70,+00971.60,+00000.00,+00000.00,+00000.00,31-10-2024 00:20 ,11
2,+00000.53,+00000.18,+00000.80,+00060.63,+00001.70,+00159.00,+00011.50,+00094.10,+00971.80,+00000.00,+00000.00,+00000.00,31-10-2024 00:30 ,11
3,+00000.55,+00000.19,+00000.83,+00060.18,+00000.90,+00159.00,+00011.40,+00093.70,+00971.80,+00000.00,+00000.00,+00000.00,31-10-2024 00:40 ,11
4,+00000.41,+00000.28,+00000.73,+00061.15,+00000.90,+00151.00,+00011.30,+00093.50,+00971.80,+00000.00,+00000.00,+00000.00,31-10-2024 00:50 ,11
5,+00000.56,+00000.23,+00000.93,+00060.00,+00000.90,+00151.00,+00011.10,+00093.40,+00971.80,+00000.00,+00000.00,+00000.00,31-10-2024 01:00 ,11
6,+00000.54,+00000.24,+00000.75,+00061.35,+00001.24,+00149.70,+00011.05,+00093.25,+00971.73,+00000.00,+00000.00,+00000.00,31-10-2024 01:10 ,11
7,+00000.40,+00000.32,+00000.71,+00063.54,+00001.28,+00156.74,+00010.95,+00091.72,+00971.70,+00000.00,+00000.00,+00000.00,31-10-2024 01:20 ,11
8,+00000.47,+00000.29,+00000.65,+00063.46,+00001.23,+00153.48,+00010.90,+00093.15,+00971.69,+00000.00,+00000.00,+00000.00,31-10-2024 01:30 ,11
9,+00000.54,+00000.23,+00000.75,+00064.57,+00001.60,+00148.84,+00010.85,+00093.39,+00971.79,+00000.00,+00000.00,+00000.00,31-10-2024 01:40 ,11
