,SO2,NO,NO2,O3,VEL,DIR,TEM,HUM,PRE,RAD,LLU,PM10,date,estacion
0,0.48,0.28,0.91,54.6,1.6,156.0,11.6,94.9,971.7,0.0,0.0,0.0,31-10-2024 00:10 ,11
1,0.43,0.15,0.73,59.31,1.8,152.0,11.6,94.7,971.6,0.0,0.0,0.0,31-10-2024 00:20 ,11
2,0.53,0.18,0.8,60.63,1.7,159.0,11.5,94.1,971.8,0.0,0.0,0.0,31-10-2024 00:30 ,11
3,0.55,0.19,0.83,60.18,0.9,159.0,11.4,93.7,971.8,0.0,0.0,0.0,31-10-2024 00:40 ,11
4,0.41,0.28,0.73,61.15,0.9,151.0,11.3,93.5,971.8,0.0,0.0,0.0,31-10-2024 00:50 ,11
5,0.56,0.23,0.93,60.0,0.9,151.0,11.1,93.4,971.8,0.0,0.0,0.0,31-10-2024 01:00 ,11
6,0.54,0.24,0.75,61.35,1.24,149.7,11.05,93.25,971.73,0.0,0.0,0.0,31-10-2024 01:10 ,11
7,0.4,0.32,0.71,63.54,1.28,156.74,10.95,91.72,971.7,0.0,0.0,0.0,31-10-2024 01:20 ,11
8,0.47,0.29,0.65,63.46,1.23,153.48,10.9,93.15,971.69,0.0,0.0,0.0,31-10-2024 01:30 ,11
9,0.54,0.23,0.75,64.57,1.6,148.84,10.85,93.39,971.79,0.0,0.0,0.0,31-10-2024 01:40 ,11
10,0.35,0.24,0.62,67.07,1.66,139.23,10.82,93.53,971.81,0.0,0.0,0.0,31-10-2024 01:50 ,11
11,0.29,0.14,0.64,68.14,1.58,142.94,10.84,93.43,971.72,0.0,0.0,0.0,31-10-2024 02:00 ,11
12,0.51,0.22,0.6,67.86,1.27,150.17,10.8,93.36,971.68,0.0,0.0,0.0,31-10-2024 02:10 ,11
13,0.49,0.17,0.61,65.88,1.61,144.54,10.8,93.54,971.69,0.0,0.0,0.0,31-10-2024 02:20 ,11
14,0.49,0.18,0.66,69.73,2.01,149.6,10.8,93.81,971.68,0.0,0.0,0.0,31-10-2024 02:30 ,11
15,0.45,0.24,0.63,69.96,2.52,140.53,10.81,93.7,971.6,0.0,0.0,0.0,31-10-2024 02:40 ,11
16,0.44,0.14,0.68,70.17,2.69,133.03,10.89,93.53,971.65,0.0,0.0,0.0,31-10-2024 02:50 ,11
17,0.42,0.15,0.75,68.8,2.67,137.94,10.82,93.07,971.61,0.0,0.0,0.0,31-10-2024 03:00 ,11
18,0.5,0.17,0.82,69.13,3.4,134.0,10.9,92.8,971.6,0.0,0.2,0.0,31-10-2024 03:10 ,11
19,0.65,0.12,0.85,69.29,4.1,131.0,10.9,92.3,971.6,0.0,0.0,0.0,31-10-2024 03:20 ,11
20,0.52,0.15,0.93,68.72,4.1,130.0,10.9,92.0,971.7,0.0,0.0,0.0,31-10-2024 03:30 ,11
21,0.34,0.23,0.77,66.43,3.9,131.0,10.9,92.0,971.7,0.0,0.0,0.0,31-10-2024 03:40 ,11
22,0.39,0.23,0.85,65.86,3.9,126.0,10.9,92.0,971.7,0.0,0.0,0.0,31-10-2024 03:50 ,11
23,0.49,0.28,1.06,63.57,2.6,131.0,10.7,91.9,971.8,0.0,0.0,0.0,31-10-2024 04:00 ,11
24,0.5,0.27,1.1,64.41,3.0,122.0,10.8,92.5,971.8,0.0,0.0,0.0,31-10-2024 04:10 ,11
25,0.49,0.2,1.38,63.52,2.9,133.0,10.7,92.4,972.0,0.0,0.0,0.0,31-10-2024 04:20 ,11
26,0.56,0.13,2.19,63.45,2.6,140.0,10.7,92.3,972.0,0.0,0.0,0.0,31-10-2024 04:30 ,11
27,0.51,0.12,1.91,65.24,2.8,127.0,10.8,92.6,972.0,0.0,0.0,0.0,31-10-2024 04:40 ,11
28,0.64,0.15,1.51,62.3,2.3,128.0,10.8,92.6,972.0,0.0,0.0,0.0,31-10-2024 04:50 ,11
29,0.78,0.04,1.35,61.51,2.2,128.0,10.8,93.0,972.0,0.0,0.0,0.0,31-10-2024 05:00 ,11
30,0.63,0.12,1.16,61.87,2.29,122.71,10.82,93.37,972.08,0.0,0.0,0.0,31-10-2024 05:10 ,11
31,0.57,0.15,1.08,61.51,2.59,130.15,10.97,93.42,972.1,0.0,0.0,0.0,31-10-2024 05:20 ,11
32,0.77,0.12,0.96,63.29,2.45,128.93,11.0,92.78,972.03,0.0,0.0,0.0,31-10-2024 05:30 ,11
33,0.54,0.13,1.07,63.41,1.66,121.7,11.08,92.85,971.91,0.0,0.0,0.0,31-10-2024 05:40 ,11
34,0.48,0.11,0.95,60.39,1.56,116.44,11.19,93.16,971.9,0.0,0.2,0.0,31-10-2024 05:50 ,11
35,0.45,0.19,1.0,59.62,2.0,97.91,11.26,93.43,971.81,0.0,0.0,0.0,31-10-2024 06:00 ,11
36,0.39,0.14,0.93,58.99,1.64,109.06,11.3,92.1,971.83,0.0,0.0,0.0,31-10-2024 06:10 ,11
