,capital,latitud_dec,altitud,num_hab,zona_comarcal,longitud_dec
0,Ababuj,40.54845854,1372.0,65,624401,-0.80780117
1,Abades,40.91634014,971.0,873,674001,-4.26787389
2,Abadiño-Zelaieta,43.14764599,144.0,7504,754802,-2.60687319
3,Abadía,40.25953202,451.0,324,701001,-5.97785806
4,Abadín o Provecende,43.36302076,515.0,2646,712702,-7.47214495
5,Abajas,42.62324935,839.0,29,670902,-3.58176303
6,Abaltzisketa,43.04671843,374.0,329,752002,-2.10562430
7,Abanilla,38.20788917,222.0,6435,733003,-1.04259775
8,Abanto,41.13823568,929.0,113,625002,-1.69921759
9,Gallarta,43.31082699,100.0,9688,754802,-3.07319265
10,Abarca de Campos,42.06341982,758.0,42,673402,-4.84050594
11,Abarán,38.20259944,173.0,13086,733003,-1.40118044
12,Abaurregaina/Abaurrea Alta,42.90411944,1056.0,132,743103,-1.20924899
13,Abaurrepea/Abaurrea Baja,42.91190255,869.0,38,743103,-1.21577352
14,San Marco,43.22787288,142.0,5585,711501,-8.28854794
15,Abejar,41.80792790,1140.0,346,674201,-2.78291427
16,Abejuela,39.90992613,1168.0,41,624402,-0.89343176
17,Abella de la Conca,42.16142117,954.0,170,692502,1.09177173
18,Abengibre,39.21000780,634.0,775,680201,-1.54384487
19,Abenójar,38.87961452,612.0,1520,681303,-4.35762706
20,Muniáin de la Solana,42.61951216,516.0,382,743102,-2.00860462
21,Abertura,39.24314262,396.0,436,701004,-5.81393908
22,Abezames,41.62553743,733.0,72,674902,-5.42555570
23,Abia de la Obispalía,40.01915175,1022.0,80,681602,-2.39574988
24,Abia de las Torres,42.41894333,842.0,184,673402,-4.42286282
25,Abiego,42.12136340,536.0,267,622202,-0.07070538
26,Abizanda,42.24285040,638.0,140,622201,0.19783256
27,Abla,37.14120990,853.0,1426,610402,-2.77953953
28,Ablanque,40.89821141,1061.0,80,681901,-2.22937043
29,Ablitas,41.97369427,386.0,2549,743104,-1.63844870
30,Abrera,41.51794352,106.0,12125,690803,1.90221018
31,Abrucena,37.13218285,986.0,1262,610402,-2.79746690
32,Abusejo,40.70974359,839.0,220,673701,-6.14229505
33,Abáigar,42.64758434,486.0,98,743102,-2.14259213
34,Abánades,40.89268689,1039.0,61,681901,-2.48589722
35,Abárzuza/Abartzuza,42.72744993,560.0,556,743102,-2.02195793
36,"Acebeda, La",41.08669701,1271.0,67,722801,-3.62520402
37,Acebedo,43.03940488,1153.0,222,672401,-5.11654364
38,Acebo,40.20164733,509.0,594,701001,-6.71717386
39,"Acebrón, El",39.90870905,759.0,238,681603,-2.98521139
40,Acedera,39.07492505,316.0,831,700601,-5.57151763
41,Acehúche,39.80103034,340.0,829,701002,-6.63471528
42,Aceituna,40.14919147,477.0,615,701001,-6.33134449
43,Acered,41.17047963,835.0,220,625002,-1.60429853
44,Aceuchal,38.64700914,303.0,5538,700603,-6.48701436
45,Adahuesca,42.14589803,616.0,172,622202,-0.00778658
46,Adalia,41.65025211,783.0,57,674701,-5.12051384
47,Adamuz,38.02512572,241.0,4398,611402,-4.52617749
48,Adanero,40.94423557,910.0,204,670501,-4.60377542
49,Adeje,28.12049369,218.0,46667,659603,-16.72245684
50,Ademuz,40.06120013,756.0,1179,774601,-1.28669047
51,Adiós,42.68647787,478.0,170,743102,-1.73632112
52,Adobes,40.67676457,1380.0,44,681902,-1.67947053
53,Ador,38.91881333,100.0,1411,774604,-0.22439286
54,Adra,36.74868325,14.0,24782,610403,-3.02330257
55,Adrada de Haza,41.59422333,822.0,230,670904,-3.82309492
56,Adrada de Pirón,41.05158774,1020.0,36,674002,-4.04989926
57,"Adrada, La",40.30136381,624.0,2663,670503,-4.63746033
58,Adradas,41.35106664,1051.0,53,674203,-2.47377986
59,Adrados,41.36859480,878.0,156,674001,-4.11562511
60,Aduna,43.20340038,129.0,471,752002,-2.04978935
61,Agaete,28.09862641,45.0,5656,659001,-15.69904438
62,Agallas,40.44825100,803.0,158,673702,-6.44086910
63,Agolada,42.76310619,581.0,2651,713602,-8.01769613
64,Agoncillo,42.44592226,346.0,1173,762601,-2.29164990
65,Agost,38.43949316,331.0,4752,770303,-0.63891979
66,Agramunt,41.78736558,336.0,5515,692503,1.09922357
67,Agres,38.78000404,719.0,583,770301,-0.51595543
68,Agrón,37.03037591,1059.0,313,611801,-3.83009744
69,Aguadulce,37.25197969,264.0,2149,614103,-4.99341911
70,Aguarón,41.33848892,650.0,796,625002,-1.26960814
71,Río Quintanilla,42.71727408,744.0,63,670902,-3.50447563
72,Aguasal,41.27453068,753.0,26,674701,-4.65253556
73,Aguatón,40.67128085,1224.0,18,624401,-1.23376877
74,Aguaviva,40.82246644,549.0,605,624403,-0.19721142
75,Agudo,38.97881558,569.0,1785,681303,-4.87264671
76,Aguilafuente,41.22794795,887.0,647,674001,-4.11194224
77,Aguilar de Bureba,42.59013202,683.0,69,670902,-3.32851643
78,Aguilar de Campoo,42.79264578,897.0,7088,673402,-4.25993817
79,Aguilar de Campos,41.98485705,775.0,295,674701,-5.17938513
80,Aguilar de Codés,42.61337016,728.0,94,743102,-2.38922737
81,Aguilar de Segarra,41.74831278,533.0,251,690802,1.62936702
82,Aguilar de la Frontera,37.52004219,379.0,13631,611403,-4.66061547
83,Aguilar del Alfambra,40.59024818,1304.0,77,624401,-0.79655771
84,Aguilar del Río Alhama,41.96170118,638.0,511,762602,-1.99412160
